,Week,gmv,list_price,units,product_mrp,discount,sla,product_procurement_sla,% discount wrt list price,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other,NPS,Stock_Index,pay_date_diff,Holiday_flag,Special_Sale_Date
0,27,5546.0,5546.0,6.0,8396.0,2850.0,4.5,3.0,0.5138838802740714,3368324.7002944252,42510.34994350945,500065.93211927725,1463720.3474122654,184.17202984979815,262030.28650161065,108038.50376802054,991775.1085198923,0.0,0.0,54.599588092376216,1177.0,10,1.0,0.0
1,28,1694057.0,1656146.0,1714.0,2731232.0,1075086.0,5.830265848670757,2.525562372188139,0.6491492899780575,6399816.930559409,80769.66489266796,950125.2710266266,2781068.6600833037,349.92685671461646,497857.54435306025,205273.15715923902,1884372.7061877951,0.0,0.0,54.599588092376216,1177.0,3,0.0,0.0
2,29,1483796.0,1461141.0,1278.0,2375543.0,914402.0,5.7457337883959045,2.5773606370875997,0.6258136620627305,7073481.870618293,89271.73488136985,1050138.4574504818,3073812.7295657573,386.76126268457614,550263.6016533824,226880.85791284312,2082727.727891774,0.0,0.0,54.599588092376216,1177.0,18,0.0,2.0
3,30,1793620.5,1766909.5,1503.0,3022712.0,1255802.5,5.83204845814978,2.644273127753304,0.7107339113859539,7073481.870618293,89271.73488136985,1050138.4574504818,3073812.7295657573,386.76126268457614,550263.6016533824,226880.85791284312,2082727.727891774,0.0,0.0,54.599588092376216,1177.0,25,0.0,0.0
4,31,1186521.0,1156103.0,1024.0,2206675.0,1050572.0,5.917517006802721,2.6079931972789114,0.9087183408398732,6126068.806836106,72775.99500300175,951038.6774615179,2572293.498464379,313.59193200675935,455657.6147402766,189484.113946389,1884505.3152885346,0.0,0.0,56.13887750141157,1185.2857142857142,13,1.0,0.0
5,32,2253.0,2253.0,3.0,7399.0,5146.0,5.0,4.0,2.2840656901908565,3283829.615489543,23288.775367897433,653739.3374946251,1067735.8051602442,94.0839399733089,171839.6540009591,77293.88204702656,1289838.0774788172,0.0,0.0,59.987101024,1206.0,6,1.0,0.0
6,33,4586.0,4586.0,3.0,9984.0,5398.0,6.0,1.0,1.1770606192760575,2099563.285761808,2669.100519937306,529864.6125084198,440836.7662835213,2.622276626037902,53582.1703595768,30547.952088958897,1042060.0617247683,0.0,0.0,59.987101024,1206.0,15,0.0,2.0
52,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0
7,35,2008.0,2008.0,3.0,3793.0,1785.0,8.0,1.0,0.8889442231075697,2099563.285761808,2669.100519937306,529864.6125084198,440836.7662835213,2.622276626037902,53582.1703595768,30547.952088958897,1042060.0617247683,0.0,0.0,59.987101024,1206.0,29,0.0,3.0
8,36,1466199.5,1440750.5,1399.0,2323989.0,883238.5,5.6395035078251485,2.6988667026443607,0.6130405646223964,24462885.027626872,950846.3856149237,559162.7900027954,15559347.084269714,149400.6254487142,4032785.337590498,1246459.5491043045,1964883.2555959239,0.0,0.0,48.79137330679771,1116.0,9,1.0,0.0
